X,Y,Index_,event_unique_id,year_,Division,homicide_type,occurrence_date,Hood_ID,Neighbourhood,Lat,Long,FID
-79.324768099999986,43.6831207,731,GO-2015831181,2015,D54,Shooting,2015-05-19T04:00:00.000Z,66,Danforth (66),43.6831207,-79.3247681,523
-79.454155,43.6651268,732,GO-2015819674,2015,D11,Other,2015-05-17T04:00:00.000Z,93,Dovercourt-Wallace Emerson-Junction (93),43.6651268,-79.454155,524
-79.4477463,43.6597824,733,GO-2015843494,2015,D11,Shooting,2015-05-20T04:00:00.000Z,93,Dovercourt-Wallace Emerson-Junction (93),43.6597824,-79.4477463,525
-79.2352676,43.7577248,734,GO-2015870230,2015,D43,Stabbing,2015-05-25T04:00:00.000Z,137,Woburn (137),43.7577248,-79.2352676,526
-79.2352676,43.7577248,735,GO-2015916307,2015,D43,Shooting,2015-06-01T04:00:00.000Z,137,Woburn (137),43.7577248,-79.2352676,527
-79.3124084,43.6894798,736,GO-2015922149,2015,D54,Stabbing,2015-05-30T04:00:00.000Z,60,Woodbine-Lumsden (60),43.6894798,-79.3124084,528
-79.3789825,43.6516953,737,GO-2015926649,2015,D51,Stabbing,2015-06-03T04:00:00.000Z,75,Church-Yonge Corridor (75),43.6516953,-79.3789825,529
-79.4937515,43.6716728,738,GO-2015988808,2015,D12,Other,2015-06-12T04:00:00.000Z,111,Rockcliffe-Smythe (111),43.6716728,-79.4937515,530
-79.4237289,43.6411324,739,GO-20151086599,2015,D14,Shooting,2015-06-28T04:00:00.000Z,84,Little Portugal (84),43.6411324,-79.4237289,531
-79.4237289,43.6411324,740,GO-20151086599,2015,D14,Shooting,2015-06-28T04:00:00.000Z,84,Little Portugal (84),43.6411324,-79.4237289,532
-79.2297287,43.729393,741,GO-20151182401,2015,D43,Stabbing,2015-07-12T04:00:00.000Z,123,Cliffcrest (123),43.729393,-79.2297287,533
-79.4472961,43.6688118,742,GO-20151178239,2015,D13,Other,2015-07-10T04:00:00.000Z,93,Dovercourt-Wallace Emerson-Junction (93),43.6688118,-79.4472961,534
-79.3723221,43.6713562,743,GO-20151325557,2015,D51,Stabbing,2015-08-03T04:00:00.000Z,74,North St.James Town (74),43.6713562,-79.3723221,535
-79.4249268,43.6326866,744,GO-20151330701,2015,D14,Shooting,2015-08-04T04:00:00.000Z,82,Niagara (82),43.6326866,-79.4249268,536
-79.4249268,43.6326866,745,GO-20151330701,2015,D14,Shooting,2015-08-04T04:00:00.000Z,82,Niagara (82),43.6326866,-79.4249268,537
-79.4638901,43.676574699999989,746,GO-20151352151,2015,D12,Stabbing,2015-08-07T04:00:00.000Z,91,Weston-Pellam Park (91),43.6765747,-79.4638901,538
-79.3832016,43.6543198,747,GO-20151362027,2015,D52,Shooting,2015-08-09T04:00:00.000Z,76,Bay Street Corridor (76),43.6543198,-79.3832016,539
-79.3710327,43.6582947,748,GO-20151423810,2015,D51,Shooting,2015-08-19T04:00:00.000Z,73,Moss Park (73),43.6582947,-79.3710327,540
-79.5041122,43.714138,749,GO-20151428790,2015,D12,Shooting,2015-08-19T04:00:00.000Z,28,Rustic (28),43.714138,-79.5041122,541
-79.5864182,43.7325096,750,GO-20151158745,2015,D23,Shooting,2015-07-09T04:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7325096,-79.5864182,542
-79.499755900000011,43.6782417,751,GO-20151536584,2015,D12,Stabbing,2015-09-06T04:00:00.000Z,111,Rockcliffe-Smythe (111),43.6782417,-79.4997559,543
-79.196434,43.766151399999984,752,GO-20151577444,2015,D43,Stabbing,2015-09-12T04:00:00.000Z,136,West Hill (136),43.7661514,-79.196434,544
-79.2120667,43.7895508,753,GO-20151641806,2015,D43,Stabbing,2015-09-22T04:00:00.000Z,135,Morningside (135),43.7895508,-79.2120667,545
-79.1568756,43.7921066,754,GO-20151692243,2015,D43,Shooting,2015-10-01T04:00:00.000Z,134,Highland Creek (134),43.7921066,-79.1568756,546
-79.5955658,43.6867599,755,GO-20151791234,2015,D23,Shooting,2015-10-17T04:00:00.000Z,1,West Humber-Clairville (1),43.6867599,-79.5955658,547
-79.386116,43.668632499999987,756,GO-20151869657,2015,D51,Shooting,2015-10-31T04:00:00.000Z,75,Church-Yonge Corridor (75),43.6686325,-79.386116,548
-79.3592606,43.717308,757,GO-20151899333,2015,D53,Shooting,2015-11-04T05:00:00.000Z,56,Leaside-Bennington (56),43.717308,-79.3592606,549
-79.3119049,43.680378,758,GO-20151783770,2015,D55,Other,2015-11-10T05:00:00.000Z,64,Woodbine Corridor (64),43.680378,-79.3119049,550
-79.2738876,43.7132149,759,GO-20151939320,2015,D41,Other,2015-11-10T05:00:00.000Z,120,Clairlea-Birchmount (120),43.7132149,-79.2738876,551
-79.3737793,43.6672974,760,GO-20151947851,2015,D51,Stabbing,2015-11-13T05:00:00.000Z,74,North St.James Town (74),43.6672974,-79.3737793,552
-79.3086395,43.776722,761,GO-20151950148,2015,D42,Stabbing,2015-11-13T05:00:00.000Z,118,Tam O'Shanter-Sullivan (118),43.776722,-79.3086395,553
-79.6040955,43.7318459,762,GO-20151975144,2015,D23,Shooting,2015-11-17T05:00:00.000Z,1,West Humber-Clairville (1),43.7318459,-79.6040955,554
-79.5821152,43.743267099999983,763,GO-20152050482,2015,D23,Shooting,2015-11-30T05:00:00.000Z,3,Thistletown-Beaumond Heights (3),43.7432671,-79.5821152,555
-79.393936199999985,43.6465149,764,GO-20152123843,2015,D52,Shooting,2015-12-11T05:00:00.000Z,77,Waterfront Communities-The Island (77),43.6465149,-79.3939362,556
-79.341011,43.7762108,765,GO-20152125474,2015,D33,Shooting,2015-12-11T05:00:00.000Z,47,Don Valley Village (47),43.7762108,-79.341011,557
